QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962584,Partido 85,Cargar los puntos del partido 85,http://uqr.to/1rhy0,url,https://torneo.sejama.com.ar/partido/85/editar,https://app.qrcodekit.com/qrs/2962584.png,https://app.qrcodekit.com/qrs/2962584.svg
2962583,Partido 84,Cargar los puntos del partido 84,http://uqr.to/1rhxz,url,https://torneo.sejama.com.ar/partido/84/editar,https://app.qrcodekit.com/qrs/2962583.png,https://app.qrcodekit.com/qrs/2962583.svg
2962582,Partido 83,Cargar los puntos del partido 83,http://uqr.to/1rhxy,url,https://torneo.sejama.com.ar/partido/83/editar,https://app.qrcodekit.com/qrs/2962582.png,https://app.qrcodekit.com/qrs/2962582.svg
2962581,Partido 82,Cargar los puntos del partido 82,http://uqr.to/1rhxx,url,https://torneo.sejama.com.ar/partido/82/editar,https://app.qrcodekit.com/qrs/2962581.png,https://app.qrcodekit.com/qrs/2962581.svg
2962580,Partido 81,Cargar los puntos del partido 81,http://uqr.to/1rhxw,url,https://torneo.sejama.com.ar/partido/81/editar,https://app.qrcodekit.com/qrs/2962580.png,https://app.qrcodekit.com/qrs/2962580.svg
2962579,Partido 80,Cargar los puntos del partido 80,http://uqr.to/1rhxv,url,https://torneo.sejama.com.ar/partido/80/editar,https://app.qrcodekit.com/qrs/2962579.png,https://app.qrcodekit.com/qrs/2962579.svg
2962578,Partido 79,Cargar los puntos del partido 79,http://uqr.to/1rhxu,url,https://torneo.sejama.com.ar/partido/79/editar,https://app.qrcodekit.com/qrs/2962578.png,https://app.qrcodekit.com/qrs/2962578.svg
2962577,Partido 78,Cargar los puntos del partido 78,http://uqr.to/1rhxt,url,https://torneo.sejama.com.ar/partido/78/editar,https://app.qrcodekit.com/qrs/2962577.png,https://app.qrcodekit.com/qrs/2962577.svg
2962576,Partido 77,Cargar los puntos del partido 77,http://uqr.to/1rhxs,url,https://torneo.sejama.com.ar/partido/77/editar,https://app.qrcodekit.com/qrs/2962576.png,https://app.qrcodekit.com/qrs/2962576.svg
2962575,Partido 76,Cargar los puntos del partido 76,http://uqr.to/1rhxr,url,https://torneo.sejama.com.ar/partido/76/editar,https://app.qrcodekit.com/qrs/2962575.png,https://app.qrcodekit.com/qrs/2962575.svg
2962574,Partido 75,Cargar los puntos del partido 75,http://uqr.to/1rhxq,url,https://torneo.sejama.com.ar/partido/75/editar,https://app.qrcodekit.com/qrs/2962574.png,https://app.qrcodekit.com/qrs/2962574.svg
2962573,Partido 74,Cargar los puntos del partido 74,http://uqr.to/1rhxp,url,https://torneo.sejama.com.ar/partido/74/editar,https://app.qrcodekit.com/qrs/2962573.png,https://app.qrcodekit.com/qrs/2962573.svg
2962572,Partido 73,Cargar los puntos del partido 73,http://uqr.to/1rhxo,url,https://torneo.sejama.com.ar/partido/73/editar,https://app.qrcodekit.com/qrs/2962572.png,https://app.qrcodekit.com/qrs/2962572.svg
